87,5579dc9d0db630d703865336, 320 W Jackson Blvd, Chicago, IL 60606,41.87814,-87.6355
88,5579dc9d0db630d703865337, 1603 E 71st St, Chicago, IL 60649,41.76592,-87.58533
89,5579dc9d0db630d703865338, 4000 W Peterson Ave, Chicago, IL 60646,41.99019,-87.72904
90,5579dc9d0db630d703865339, 6400 N California Ave, Chicago, IL 60645,41.99755,-87.69972
91,5579dc9d0db630d70386533a, 525 N Michigan Ave, Chicago, IL 60611,41.89151,-87.624
92,5579dc9d0db630d70386533b, 1160 S Jefferson St, Chicago, IL 60607,41.86776,-87.64228
93,5579dc9d0db630d70386533c, 2043 W Howard St, Chicago, IL 60202,42.01944,-87.68212
94,5579dc9d0db630d70386533d, 456 E Ontario St, Chicago, IL 60611,41.89356,-87.61514
95,5579dc9d0db630d70386533e, 3505 W Bryn Mawr Ave, Chicago, IL 60625,41.9829,-87.7164
96,5579dc9d0db630d70386533f, 4107 N Lawler Ave, Chicago, IL 60641,41.95548,-87.75348
99,5579dc9d0db630d703865342, 2000 W Division St, Chicago, IL 60622,41.90326,-87.67747
100,5579dc9d0db630d703865343, 7501 N Ridge Ave, Chicago, IL 60645,42.018,-87.68444
101,5579dc9d0db630d703865344, 6312 N Oakley Ave, Chicago, IL 60659,41.99635,-87.68747
102,5579dc9d0db630d703865345, 4447 N Ashland Ave, Chicago, IL 60640,41.96302,-87.66915
103,5579dc9d0db630d703865346, 8700 S Lafayette Ave, Chicago, IL 60620,41.73619,-87.6255
104,5579dc9d0db630d703865347, 229 S Canal St, Chicago, IL 60606,41.87827,-87.63954
105,5579dc9d0db630d703865348, 6417 N Clark St, Chicago, IL 60626,41.99866,-87.67071
106,5579dc9d0db630d703865349, 1361 N Milwaukee Ave, Chicago, IL 60622,41.90653,-87.67136
107,5579dc9d0db630d70386534a, 201 E Ohio St, Chicago, IL 60611,41.89255,-87.62141
108,5579dc9d0db630d70386534b, 2340 W Devon Ave, Chicago, IL 60659,41.99778,-87.68902
110,5579dc9d0db630d70386534d, 1132 W Bryn Mawr Ave, Chicago, IL 60660,41.98366,-87.65932
114,5579dc9d0db630d703865351, 4100 S Lowe Ave, Chicago, IL 60609,41.81901,-87.6422
116,5579dc9d0db630d703865353, 204 E Erie St, Chicago, IL 60611,41.89419,-87.62263
111,5579dc9d0db630d70386534e, 3517 W Bryn Mawr Ave, Chicago, IL 60625,41.98288,-87.71701
117,5579dc9d0db630d703865354, 811 W Wilson Ave, Chicago, IL 60640,41.96548,-87.65059
118,5579dc9d0db630d703865355, 2628 S Michigan Ave, Chicago, IL 60616,41.84526,-87.62372
112,5579dc9d0db630d70386534f, 6238 N Ravenswood Ave, Chicago, IL 60660,41.99508,-87.67551
120,5579dc9d0db630d703865357, 845 N Michigan Ave, Chicago, IL 60611,41.89803,-87.62395
119,5579dc9d0db630d703865356, 3815 W Bryn Mawr Ave, Chicago, IL 60625,41.98278,-87.72479
121,5579dc9d0db630d703865358, 10251 S Ewing Ave, Chicago, IL 60617,41.70857,-87.53523
121,5579dc9d0db630d703865358, 10251 S Ewing Ave, Chicago, IL 60617,41.70857,-87.53523
122,5579dc9d0db630d703865359, 6407 N Seeley Ave, Chicago, IL 60659,41.99657,-87.68133
123,5579dc9d0db630d70386535a, 1237 W Morse Ave, Chicago, IL 60626,42.00795,-87.66241
124,5579dc9d0db630d70386535b, 332 N Wabash Ave, Chicago, IL 60611,41.88857,-87.62726
125,5579dc9d0db630d70386535c, 2200 S Western Ave, Chicago, IL 60608,41.8518,-87.68577
126,5579dc9d0db630d70386535d, 259 S Canal St, Chicago, IL 60606,41.87817,-87.63954
127,5579dc9d0db630d70386535e, 4771 N Lincoln Ave, Chicago, IL 60625,41.96838,-87.68823
128,5579dc9d0db630d70386535f, 204 E Erie St, Chicago, IL 60611,41.89419,-87.62263
129,5579dc9d0db630d703865360, 200 W Adams St, Chicago, IL 60606,41.8794,-87.63447
130,5579dc9d0db630d703865361, 5610 N Kenmore Ave, Chicago, IL 60660,41.98404,-87.65671
131,5579dc9d0db630d703865362, 3507 W Bryn Mawr Ave, Chicago, IL 60625,41.9829,-87.7165
133,5579dc9d0db630d703865364, 5753 S Rockwell St, Chicago, IL 60629,41.78857,-87.6887
134,5579dc9d0db630d703865365, 400 W Belmont Ave, Chicago, IL 60657,41.94017,-87.6398
135,5579dc9d0db630d703865366, 201 S Canal St, Chicago, IL 60606,41.87864,-87.63956
136,5579dc9d0db630d703865367, 557 W Belmont Ave, Chicago, IL 60657,41.94004,-87.64397
137,5579dc9d0db630d703865368, 230 S Canal St, Chicago, IL 60606,41.87902,-87.63969
138,5579dc9d0db630d703865369, 4000 N Broadway St, Chicago, IL 60613,41.9549,-87.65078
139,5579dc9d0db630d70386536a, 2400 W Diversey Ave, Chicago, IL 60647,41.93222,-87.68821
140,5579dc9d0db630d70386536b, 3625 W Irving Park Rd, Chicago, IL 60618,41.9537,-87.71867
141,5579dc9d0db630d70386536c, 50 E Monroe St, Chicago, IL 60603,41.88084,-87.6259
142,5579dc9d0db630d70386536d, 259 S Canal St, Chicago, IL 60606,41.87817,-87.63954
144,5579dc9d0db630d70386536f, 6339 N Bell Ave, Chicago, IL 60659,41.997,-87.68614
143,5579dc9d0db630d70386536e, 405 W Superior St, Chicago, IL 60654,41.89554,-87.6386
145,5579dc9d0db630d703865370, 501 W Monroe St, Chicago, IL 60661,41.88056,-87.64015
146,5579dc9d0db630d703865371, 10 S La Salle St, Chicago, IL 60603,41.88154,-87.6324
147,5579dc9d0db630d703865372, 8700 S Lafayette Ave, Chicago, IL 60620,41.73619,-87.6255
148,5579dc9d0db630d703865373, 7227 N Ridge Blvd, Chicago, IL 60645,42.01297,-87.68326
149,5579dc9d0db630d703865374, 7234 N Ridge Blvd, Chicago, IL 60645,42.01334,-87.68352
150,5579dc9d0db630d703865375, 870 N Michigan Ave, Chicago, IL 60611,41.89868,-87.62425
151,5579dc9d0db630d703865376, 2400 W Arthur Ave, Chicago, IL 60645,41.99956,-87.69036
152,5579dc9d0db630d703865377, 7244 N Hamilton Ave, Chicago, IL 60645,42.01351,-87.68506
154,5579dc9d0db630d703865379, 225 S Canal St, Chicago, IL 60606,41.87828,-87.63955
